class,subclass,PrXs,pid,marketloss,share,freq,duration
Marine Hull,Main,Excess,MH_main_3006,25083.7,0.1,4,0.999315537
Marine Hull,Main,Excess,MH_main_2414,62314.10312,0.069474,1,1.497604381
Marine Hull,Main,Excess,MH_main_2994,2015.002847,0.061475,1,0.999315537
Marine Hull,Main,Excess,MH_main_3565,4072.790565,0.061475,1,0.996577687
Marine Hull,Main,Excess,MH_main_2650,3053.2,0.025,2,1.18275154
Marine Hull,Main,Excess,MH_main_2650,3137.2,0.025,2,1.18275154
Marine Hull,Main,Excess,MH_main_3066,5227.86407,0.025366,1,0.999315537
Marine Hull,Main,Excess,MH_main_3638,497792.0292,0.031264,1,0.996577687
Marine Hull,Main,Excess,MH_main_2466,1970.99768,0.02586,5,1.081451061
Marine Hull,Main,Excess,MH_main_2466,7185.614849,0.02586,5,1.081451061
Marine Hull,Main,Excess,MH_main_2466,5501.160093,0.02586,5,1.081451061
Marine Hull,Main,Excess,MH_main_2466,616225.058,0.02586,5,1.081451061
Marine Hull,Main,Excess,MH_main_2466,6730852.668,0.02586,5,1.081451061
Marine Hull,Main,Excess,MH_main_2467,802921.9261,0.036363,1,1.081451061
Marine Hull,Main,Excess,MH_main_3088,127763.0979,0.0346658,1,0.999315537
Marine Hull,Main,Primary,MH_main_2522,6447.534134,0.1333,1,1.229295003
Marine Hull,Main,Excess,MH_main_3647,275526.6,0.05,4,1.500342231
Marine Hull,Main,Excess,MH_main_3647,10828.364,0.05,4,1.500342231
Marine Hull,Main,Excess,MH_main_3647,1168532.2,0.05,4,1.500342231
Marine Hull,Main,Excess,MH_main_3647,3434.356,0.05,4,1.500342231
Marine Hull,Main,Excess,MH_main_3647,76216.128,0.05,4,1.500342231
Marine Hull,Main,Excess,MH_main_3647,1427973.2,0.05,4,1.500342231
Marine Hull,Main,Excess,MH_main_3647,159986,0.05,4,1.500342231
Marine Hull,Main,Excess,MH_main_2468,3423.842384,0.09999,2,0.996577687
Marine Hull,Main,Excess,MH_main_2468,2708.970897,0.09999,2,0.996577687
Marine Hull,Main,Excess,MH_main_3605,2689.73564,0.0749925,1,0.996577687
Marine Hull,Main,Excess,MH_main_2473,3479.947995,0.049995,1,0.996577687
Marine Hull,Main,Excess,MH_main_3042,364738.2738,0.049995,3,0.999315537
Marine Hull,Main,Excess,MH_main_3042,3224.122412,0.049995,3,0.999315537
Marine Hull,Main,Excess,MH_main_3042,3829.982998,0.049995,3,0.999315537
Marine Hull,Main,Excess,MH_main_2634,255244.0633,0.04329,1,0.996577687
Marine Hull,Main,Excess,MH_main_3219,607734.3867,0.04329,1,0.999315537
Marine Hull,Main,Excess,MH_main_3219,8543.559714,0.04329,1,0.999315537
Marine Hull,Main,Excess,MH_main_3660,4800,0.08,1,0.996577687
Marine Hull,Main,Excess,MH_main_4539,5690,0.1,2,0.996577687
